date,season,Champion
2014-12-16 00:00:00,Preseason 5,Cho'Gath
2014-12-02 00:00:00,Preseason 5,Aatrox
2014-12-23 00:00:00,Preseason 5,Cassiopeia
2014-12-30 00:00:00,Preseason 5,Blitzcrank
2014-12-09 00:00:00,Preseason 5,Braum
2015-01-13 00:00:00,Preseason 5,Annie
2015-01-06 00:00:00,Preseason 5,Amumu
2014-11-18 00:00:00,Preseason 5,Diana
2014-11-25 00:00:00,Preseason 5,Ahri
2014-04-01 00:00:00,Season 4,Ahri
2014-04-15 00:00:00,Season 4,Aatrox
2014-04-22 00:00:00,Season 4,Ashe
2014-04-29 00:00:00,Season 4,Cassiopeia
2014-04-08 00:00:00,Season 4,Amumu
2014-08-10 00:00:00,Season 4,Akali
2014-08-17 00:00:00,Season 4,Ahri
2014-08-24 00:00:00,Season 4,Braum
2014-08-03 00:00:00,Season 4,Ashe
2014-02-11 00:00:00,Season 4,Aatrox
2014-02-18 00:00:00,Season 4,Cho'Gath
2014-02-25 00:00:00,Season 4,Annie
2014-02-04 00:00:00,Season 4,Anivia
2014-01-21 00:00:00,Season 4,Karma
2014-01-28 00:00:00,Season 4,Ashe
2014-07-13 00:00:00,Season 4,Aatrox
2014-07-20 00:00:00,Season 4,Blitzcrank
2014-07-27 00:00:00,Season 4,Elise
2014-07-06 00:00:00,Season 4,Amumu
2014-06-01 00:00:00,Season 4,Akali
2014-06-15 00:00:00,Season 4,Draven
2014-06-22 00:00:00,Season 4,Janna
2014-06-29 00:00:00,Season 4,Brand
2014-06-08 00:00:00,Season 4,Ashe
2014-03-11 00:00:00,Season 4,Ashe
2014-03-18 00:00:00,Season 4,Caitlyn
2014-03-25 00:00:00,Season 4,Akali
2014-03-04 00:00:00,Season 4,Kog'Maw
2014-05-13 00:00:00,Season 4,Dr Mundo
2014-05-20 00:00:00,Season 4,Hecarim
2014-05-27 00:00:00,Season 4,Ahri
2014-05-06 00:00:00,Season 4,Fiddlesticks
2014-11-11 00:00:00,Season 4,Akali
2014-11-04 00:00:00,Season 4,Amumu
2014-10-13 00:00:00,Season 4,Draven
2014-10-20 00:00:00,Season 4,Brand
2014-10-27 00:00:00,Season 4,Braum
2014-10-06 00:00:00,Season 4,Caitlyn
2014-09-01 00:00:00,Season 4,Diana
2014-09-15 00:00:00,Season 4,Aatrox
2014-09-22 00:00:00,Season 4,Fiora
2014-09-29 00:00:00,Season 4,Ashe
2014-09-08 00:00:00,Season 4,Blitzcrank
2013-04-16 00:00:00,Season 3,Ashe
2013-04-02 00:00:00,Season 3,Amumu
2013-04-23 00:00:00,Season 3,Dr. Mundo
2013-04-30 00:00:00,Season 3,Anivia
2013-04-09 00:00:00,Season 3,Blitzcrank
2013-08-13 00:00:00,Season 3,Amumu
2013-08-20 00:00:00,Season 3,Ezreal
2013-08-27 00:00:00,Season 3,Ahri
2013-08-06 00:00:00,Season 3,Anivia
2013-02-12 00:00:00,Season 3,Fiora
2013-02-19 00:00:00,Season 3,Ezreal
2013-02-26 00:00:00,Season 3,Anivia
2013-02-05 00:00:00,Season 3,Amumu
2013-07-16 00:00:00,Season 3,Corki
2013-07-02 00:00:00,Season 3,Aatrox
2013-07-23 00:00:00,Season 3,Ashe
2013-07-30 00:00:00,Season 3,Annie
2013-07-09 00:00:00,Season 3,Katarina
2013-06-11 00:00:00,Season 3,Ahri
2013-06-18 00:00:00,Season 3,Blitzcrank
2013-06-25 00:00:00,Season 3,Draven
2013-06-04 00:00:00,Season 3,Amumu
2013-03-12 00:00:00,Season 3,Ahri
2013-03-19 00:00:00,Season 3,Gangplank
2013-03-26 00:00:00,Season 3,Akali
2013-03-05 00:00:00,Season 3,Cho'Gath
2013-05-14 00:00:00,Season 3,Caitlyn
2013-05-21 00:00:00,Season 3,Evelynn
2013-05-28 00:00:00,Season 3,Cho'Gath
2013-05-07 00:00:00,Season 3,Annie
2013-11-12 00:00:00,Season 3,Ashe
2013-11-19 00:00:00,Season 3,Ahri
2013-11-05 00:00:00,Season 3,Blitzcrank
2013-10-01 00:00:00,Season 3,Heimerdinger
2013-10-15 00:00:00,Season 3,Amumu
2013-10-22 00:00:00,Season 3,Janna
2013-10-29 00:00:00,Season 3,Fiddlesticks
2013-10-08 00:00:00,Season 3,Cho'Gath
2013-09-10 00:00:00,Season 3,Cassiopeia
2013-09-17 00:00:00,Season 3,Aatrox
2013-09-24 00:00:00,Season 3,Akali
2013-09-03 00:00:00,Season 3,Evelynn
2013-12-10 00:00:00,Preseason 4,Cho'Gath
2013-12-17 00:00:00,Preseason 4,Annie
2013-12-24 00:00:00,Preseason 4,Ezreal
2013-12-03 00:00:00,Preseason 4,Aatrox
2013-12-31 00:00:00,Preseason 4,Akali
2014-01-14 00:00:00,Preseason 4,Ahri
2014-01-07 00:00:00,Preseason 4,Amumu
2013-11-26 00:00:00,Preseason 4,Corki
2014-12-16 00:00:00,Preseason 5,Jax
2014-12-02 00:00:00,Preseason 5,Ashe
2014-12-23 00:00:00,Preseason 5,Karthus
2014-12-30 00:00:00,Preseason 5,Ezreal
2014-12-09 00:00:00,Preseason 5,Corki
2015-01-13 00:00:00,Preseason 5,Braum
2015-01-06 00:00:00,Preseason 5,Darius
2014-11-18 00:00:00,Preseason 5,Graves
2014-11-25 00:00:00,Preseason 5,Anivia
2014-04-01 00:00:00,Season 4,Draven
2014-04-15 00:00:00,Season 4,Blitzcrank
2014-04-22 00:00:00,Season 4,Irelia
2014-04-29 00:00:00,Season 4,Cho'Gath
2014-04-08 00:00:00,Season 4,Anivia
2014-08-10 00:00:00,Season 4,Annie
2014-08-17 00:00:00,Season 4,Caitlyn
2014-08-24 00:00:00,Season 4,Corki
2014-08-03 00:00:00,Season 4,Irelia
2014-02-11 00:00:00,Season 4,Darius
2014-02-18 00:00:00,Season 4,Fiddlesticks
2014-02-25 00:00:00,Season 4,Blitzcrank
2014-02-04 00:00:00,Season 4,Draven
2014-01-21 00:00:00,Season 4,Katarina
2014-01-28 00:00:00,Season 4,Fiora
2014-07-13 00:00:00,Season 4,Cho'Gath
2014-07-20 00:00:00,Season 4,Dr. Mundo
2014-07-27 00:00:00,Season 4,Janna
2014-07-06 00:00:00,Season 4,Anivia
2014-06-01 00:00:00,Season 4,Annie
2014-06-15 00:00:00,Season 4,Galio
2014-06-22 00:00:00,Season 4,Jinx
2014-06-29 00:00:00,Season 4,Jayce
2014-06-08 00:00:00,Season 4,Corki
2014-03-11 00:00:00,Season 4,Gangplank
2014-03-18 00:00:00,Season 4,Diana
2014-03-25 00:00:00,Season 4,Jarvan IV
2014-03-04 00:00:00,Season 4,Lux
2014-05-13 00:00:00,Season 4,Kassadin
2014-05-20 00:00:00,Season 4,Lux
2014-05-27 00:00:00,Season 4,Blitzcrank
2014-05-06 00:00:00,Season 4,Janna
2014-11-11 00:00:00,Season 4,Annie
2014-11-04 00:00:00,Season 4,Blitzcrank
2014-10-13 00:00:00,Season 4,Karma
2014-10-20 00:00:00,Season 4,Lulu
2014-10-27 00:00:00,Season 4,Corki
2014-10-06 00:00:00,Season 4,Ezreal
2014-09-01 00:00:00,Season 4,Fizz
2014-09-15 00:00:00,Season 4,Anivia
2014-09-22 00:00:00,Season 4,Jax
2014-09-29 00:00:00,Season 4,Azir
2014-09-08 00:00:00,Season 4,Heimerdinger
2013-04-16 00:00:00,Season 3,Karma
2013-04-02 00:00:00,Season 3,Diana
2013-04-23 00:00:00,Season 3,Fiddlesticks
2013-04-30 00:00:00,Season 3,Ashe
2013-04-09 00:00:00,Season 3,Caitlyn
2013-08-13 00:00:00,Season 3,Blitzcrank
2013-08-20 00:00:00,Season 3,Gragas
2013-08-27 00:00:00,Season 3,Draven
2013-08-06 00:00:00,Season 3,Caitlyn
2013-02-12 00:00:00,Season 3,Gangplank
2013-02-19 00:00:00,Season 3,Fiddlesticks
2013-02-26 00:00:00,Season 3,Ashe
2013-02-05 00:00:00,Season 3,Annie
2013-07-16 00:00:00,Season 3,Graves
2013-07-02 00:00:00,Season 3,Akali
2013-07-23 00:00:00,Season 3,Diana
2013-07-30 00:00:00,Season 3,Fiora
2013-07-09 00:00:00,Season 3,Kennen
2013-06-11 00:00:00,Season 3,Ashe
2013-06-18 00:00:00,Season 3,Caitlyn
2013-06-25 00:00:00,Season 3,Irelia
2013-06-04 00:00:00,Season 3,Brand
2013-03-12 00:00:00,Season 3,Jarvan IV
2013-03-19 00:00:00,Season 3,Irelia
2013-03-26 00:00:00,Season 3,Annie
2013-03-05 00:00:00,Season 3,Corki
2013-05-14 00:00:00,Season 3,Elise
2013-05-21 00:00:00,Season 3,Malphite
2013-05-28 00:00:00,Season 3,Ezreal
2013-05-07 00:00:00,Season 3,Cassiopeia
2013-11-12 00:00:00,Season 3,Jayce
2013-11-19 00:00:00,Season 3,Anivia
2013-11-05 00:00:00,Season 3,Caitlyn
2013-10-01 00:00:00,Season 3,Kennen
2013-10-15 00:00:00,Season 3,Annie
2013-10-22 00:00:00,Season 3,Jinx
2013-10-29 00:00:00,Season 3,Fizz
2013-10-08 00:00:00,Season 3,Corki
2013-09-10 00:00:00,Season 3,Elise
2013-09-17 00:00:00,Season 3,Ashe
2013-09-24 00:00:00,Season 3,Blitzcrank
2013-09-03 00:00:00,Season 3,Galio
2013-12-10 00:00:00,Preseason 4,Graves
2013-12-17 00:00:00,Preseason 4,Ashe
2013-12-24 00:00:00,Preseason 4,Gangplank
2013-12-03 00:00:00,Preseason 4,Cassiopeia
2013-12-31 00:00:00,Preseason 4,Diana
2014-01-14 00:00:00,Preseason 4,Caitlyn
2014-01-07 00:00:00,Preseason 4,Blitzcrank
2013-11-26 00:00:00,Preseason 4,Elise
2014-12-16 00:00:00,Preseason 5,Lucian
2014-12-02 00:00:00,Preseason 5,Caitlyn
2014-12-23 00:00:00,Preseason 5,Malphite
2014-12-30 00:00:00,Preseason 5,Kassadin
2014-12-09 00:00:00,Preseason 5,Galio
2015-01-13 00:00:00,Preseason 5,Graves
2015-01-06 00:00:00,Preseason 5,Draven
2014-11-18 00:00:00,Preseason 5,Hecarim
2014-11-25 00:00:00,Preseason 5,Jarvan IV
2014-04-01 00:00:00,Season 4,Janna
2014-04-15 00:00:00,Season 4,Corki
2014-04-22 00:00:00,Season 4,Karma
2014-04-29 00:00:00,Season 4,Jinx
2014-04-08 00:00:00,Season 4,Graves
2014-08-10 00:00:00,Season 4,Darius
2014-08-17 00:00:00,Season 4,Draven
2014-08-24 00:00:00,Season 4,Fiddlesticks
2014-08-03 00:00:00,Season 4,Jinx
2014-02-11 00:00:00,Season 4,Ezreal
2014-02-18 00:00:00,Season 4,Graves
2014-02-25 00:00:00,Season 4,Cassiopeia
2014-02-04 00:00:00,Season 4,Elise
2014-01-21 00:00:00,Season 4,Lissandra
2014-01-28 00:00:00,Season 4,Jayce
2014-07-13 00:00:00,Season 4,Ezreal
2014-07-20 00:00:00,Season 4,Gragas
2014-07-27 00:00:00,Season 4,Katarina
2014-07-06 00:00:00,Season 4,Braum
2014-06-01 00:00:00,Season 4,Diana
2014-06-15 00:00:00,Season 4,Graves
2014-06-22 00:00:00,Season 4,Mordekaiser
2014-06-29 00:00:00,Season 4,Kayle
2014-06-08 00:00:00,Season 4,Evelynn
2014-03-11 00:00:00,Season 4,Heimerdinger
2014-03-18 00:00:00,Season 4,Garen
2014-03-25 00:00:00,Season 4,Miss Fortune
2014-03-04 00:00:00,Season 4,Morgana
2014-05-13 00:00:00,Season 4,Kennen
2014-05-20 00:00:00,Season 4,Nasus
2014-05-27 00:00:00,Season 4,Braum
2014-05-06 00:00:00,Season 4,Nunu
2014-11-11 00:00:00,Season 4,Gangplank
2014-11-04 00:00:00,Season 4,Jinx
2014-10-13 00:00:00,Season 4,Lee Sin
2014-10-20 00:00:00,Season 4,Nami
2014-10-27 00:00:00,Season 4,Lux
2014-10-06 00:00:00,Season 4,Gragas
2014-09-01 00:00:00,Season 4,Galio
2014-09-15 00:00:00,Season 4,Graves
2014-09-22 00:00:00,Season 4,Jinx
2014-09-29 00:00:00,Season 4,Cassiopeia
2014-09-08 00:00:00,Season 4,Jarvan IV
2013-04-16 00:00:00,Season 3,Karthus
2013-04-02 00:00:00,Season 3,Draven
2013-04-23 00:00:00,Season 3,Miss Fortune
2013-04-30 00:00:00,Season 3,Gragas
2013-04-09 00:00:00,Season 3,Ezreal
2013-08-13 00:00:00,Season 3,Darius
2013-08-20 00:00:00,Season 3,Janna
2013-08-27 00:00:00,Season 3,Kog'Maw
2013-08-06 00:00:00,Season 3,Cho'Gath
2013-02-12 00:00:00,Season 3,Kassadin
2013-02-19 00:00:00,Season 3,Galio
2013-02-26 00:00:00,Season 3,Brand
2013-02-05 00:00:00,Season 3,Graves
2013-07-16 00:00:00,Season 3,Jayce
2013-07-02 00:00:00,Season 3,Dr. Mundo
2013-07-23 00:00:00,Season 3,Fiddlesticks
2013-07-30 00:00:00,Season 3,Leona
2013-07-09 00:00:00,Season 3,Kog'Maw
2013-06-11 00:00:00,Season 3,Fiora
2013-06-18 00:00:00,Season 3,Gangplank
2013-06-25 00:00:00,Season 3,Karma
2013-06-04 00:00:00,Season 3,Hecarim
2013-03-12 00:00:00,Season 3,Kennen
2013-03-19 00:00:00,Season 3,Kayle
2013-03-26 00:00:00,Season 3,Fizz
2013-03-05 00:00:00,Season 3,Janna
2013-05-14 00:00:00,Season 3,Galio
2013-05-21 00:00:00,Season 3,Mordekaiser
2013-05-28 00:00:00,Season 3,Garen
2013-05-07 00:00:00,Season 3,Corki
2013-11-12 00:00:00,Season 3,Karthus
2013-11-19 00:00:00,Season 3,Fiora
2013-11-05 00:00:00,Season 3,Darius
2013-10-01 00:00:00,Season 3,Morgana
2013-10-15 00:00:00,Season 3,Diana
2013-10-22 00:00:00,Season 3,Karma
2013-10-29 00:00:00,Season 3,Jax
2013-10-08 00:00:00,Season 3,Ezreal
2013-09-10 00:00:00,Season 3,Janna
2013-09-17 00:00:00,Season 3,Brand
2013-09-24 00:00:00,Season 3,Caitlyn
2013-09-03 00:00:00,Season 3,Graves
2013-12-10 00:00:00,Preseason 4,Heimerdinger
2013-12-17 00:00:00,Preseason 4,Draven
2013-12-24 00:00:00,Preseason 4,Jarvan IV
2013-12-03 00:00:00,Preseason 4,Lux
2013-12-31 00:00:00,Preseason 4,Garen
2014-01-14 00:00:00,Preseason 4,Corki
2014-01-07 00:00:00,Preseason 4,Brand
2013-11-26 00:00:00,Preseason 4,Janna
2014-12-16 00:00:00,Preseason 5,Lulu
2014-12-02 00:00:00,Preseason 5,Karma
2014-12-23 00:00:00,Preseason 5,Nami
2014-12-30 00:00:00,Preseason 5,Maokai
2014-12-09 00:00:00,Preseason 5,Gragas
2015-01-13 00:00:00,Preseason 5,Irelia
2015-01-06 00:00:00,Preseason 5,Fiora
2014-11-18 00:00:00,Preseason 5,Kayle
2014-11-25 00:00:00,Preseason 5,Kog'Maw
2014-04-01 00:00:00,Season 4,Jax
2014-04-15 00:00:00,Season 4,Darius
2014-04-22 00:00:00,Season 4,Master Yi
2014-04-29 00:00:00,Season 4,Leona
2014-04-08 00:00:00,Season 4,Janna
2014-08-10 00:00:00,Season 4,Graves
2014-08-17 00:00:00,Season 4,Karma
2014-08-24 00:00:00,Season 4,Gangplank
2014-08-03 00:00:00,Season 4,Lux
2014-02-11 00:00:00,Season 4,Kayle
2014-02-18 00:00:00,Season 4,Irelia
2014-02-25 00:00:00,Season 4,Corki
2014-02-04 00:00:00,Season 4,Karthus
2014-01-21 00:00:00,Season 4,Miss Fortune
2014-01-28 00:00:00,Season 4,Kennen
2014-07-13 00:00:00,Season 4,Kassadin
2014-07-20 00:00:00,Season 4,Kog'Maw
2014-07-27 00:00:00,Season 4,Lucian
2014-07-06 00:00:00,Season 4,Caitlyn
2014-06-01 00:00:00,Season 4,Fizz
2014-06-15 00:00:00,Season 4,Jax
2014-06-22 00:00:00,Season 4,Quinn
2014-06-29 00:00:00,Season 4,Leona
2014-06-08 00:00:00,Season 4,Jarvan IV
2014-03-11 00:00:00,Season 4,Jinx
2014-03-18 00:00:00,Season 4,Leona
2014-03-25 00:00:00,Season 4,Sivir
2014-03-04 00:00:00,Season 4,Nunu
2014-05-13 00:00:00,Season 4,Kha'Zix
2014-05-20 00:00:00,Season 4,Nidalee
2014-05-27 00:00:00,Season 4,Caitlyn
2014-05-06 00:00:00,Season 4,Renekton
2014-11-11 00:00:00,Season 4,Janna
2014-11-04 00:00:00,Season 4,Katarina
2014-10-13 00:00:00,Season 4,Morgana
2014-10-20 00:00:00,Season 4,Rammus
2014-10-27 00:00:00,Season 4,Malphite
2014-10-06 00:00:00,Season 4,Kassadin
2014-09-01 00:00:00,Season 4,Gnar
2014-09-15 00:00:00,Season 4,Janna
2014-09-22 00:00:00,Season 4,Kha'Zix
2014-09-29 00:00:00,Season 4,Cho'Gath
2014-09-08 00:00:00,Season 4,Kayle
2013-04-16 00:00:00,Season 3,Lee Sin
2013-04-02 00:00:00,Season 3,Graves
2013-04-23 00:00:00,Season 3,Rammus
2013-04-30 00:00:00,Season 3,Janna
2013-04-09 00:00:00,Season 3,Katarina
2013-08-13 00:00:00,Season 3,Miss Fortune
2013-08-20 00:00:00,Season 3,Nasus
2013-08-27 00:00:00,Season 3,LeBlanc
2013-08-06 00:00:00,Season 3,Garen
2013-02-12 00:00:00,Season 3,Master Yi
2013-02-19 00:00:00,Season 3,Garen
2013-02-26 00:00:00,Season 3,Caitlyn
2013-02-05 00:00:00,Season 3,Janna
2013-07-16 00:00:00,Season 3,Karthus
2013-07-02 00:00:00,Season 3,Ezreal
2013-07-23 00:00:00,Season 3,Fizz
2013-07-30 00:00:00,Season 3,Nami
2013-07-09 00:00:00,Season 3,Leona
2013-06-11 00:00:00,Season 3,Janna
2013-06-18 00:00:00,Season 3,Jarvan IV
2013-06-25 00:00:00,Season 3,Lux
2013-06-04 00:00:00,Season 3,LeBlanc
2013-03-12 00:00:00,Season 3,Lulu
2013-03-19 00:00:00,Season 3,Pantheon
2013-03-26 00:00:00,Season 3,Kha'Zix
2013-03-05 00:00:00,Season 3,Karthus
2013-05-14 00:00:00,Season 3,Heimerdinger
2013-05-21 00:00:00,Season 3,Rumble
2013-05-28 00:00:00,Season 3,Graves
2013-05-07 00:00:00,Season 3,Darius
2013-11-12 00:00:00,Season 3,Nami
2013-11-19 00:00:00,Season 3,Miss Fortune
2013-11-05 00:00:00,Season 3,Garen
2013-10-01 00:00:00,Season 3,Quinn
2013-10-15 00:00:00,Season 3,Draven
2013-10-22 00:00:00,Season 3,Kog'Maw
2013-10-29 00:00:00,Season 3,Kha'Zix
2013-10-08 00:00:00,Season 3,Jarvan IV
2013-09-10 00:00:00,Season 3,Leona
2013-09-17 00:00:00,Season 3,Karma
2013-09-24 00:00:00,Season 3,Malphite
2013-09-03 00:00:00,Season 3,Kassadin
2013-12-10 00:00:00,Preseason 4,Irelia
2013-12-17 00:00:00,Preseason 4,Morgana
2013-12-24 00:00:00,Preseason 4,Kog'Maw
2013-12-03 00:00:00,Preseason 4,Malphite
2013-12-31 00:00:00,Preseason 4,Janna
2014-01-14 00:00:00,Preseason 4,Fizz
2014-01-07 00:00:00,Preseason 4,Fiddlesticks
2013-11-26 00:00:00,Preseason 4,Kayle
2014-12-16 00:00:00,Preseason 5,Sivir
2014-12-02 00:00:00,Preseason 5,Kha'Zix
2014-12-23 00:00:00,Preseason 5,Nasus
2014-12-30 00:00:00,Preseason 5,Rammus
2014-12-09 00:00:00,Preseason 5,Heimerdinger
2015-01-13 00:00:00,Preseason 5,Katarina
2015-01-06 00:00:00,Preseason 5,Fizz
2014-11-18 00:00:00,Preseason 5,Leona
2014-11-25 00:00:00,Preseason 5,Nocturne
2014-04-01 00:00:00,Season 4,Nocturne
2014-04-15 00:00:00,Season 4,Elise
2014-04-22 00:00:00,Season 4,Nami
2014-04-29 00:00:00,Season 4,Lulu
2014-04-08 00:00:00,Season 4,Lissandra
2014-08-10 00:00:00,Season 4,Leona
2014-08-17 00:00:00,Season 4,Master Yi
2014-08-24 00:00:00,Season 4,Garen
2014-08-03 00:00:00,Season 4,Morgana
2014-02-11 00:00:00,Season 4,Leona
2014-02-18 00:00:00,Season 4,Janna
2014-02-25 00:00:00,Season 4,Lucian
2014-02-04 00:00:00,Season 4,Kha'Zix
2014-01-21 00:00:00,Season 4,Olaf
2014-01-28 00:00:00,Season 4,Lulu
2014-07-13 00:00:00,Season 4,Kha'Zix
2014-07-20 00:00:00,Season 4,Nasus
2014-07-27 00:00:00,Season 4,Malphite
2014-07-06 00:00:00,Season 4,Fiora
2014-06-01 00:00:00,Season 4,Gangplank
2014-06-15 00:00:00,Season 4,Maokai
2014-06-22 00:00:00,Season 4,Rammus
2014-06-29 00:00:00,Season 4,Lulu
2014-06-08 00:00:00,Season 4,Karma
2014-03-11 00:00:00,Season 4,Karma
2014-03-18 00:00:00,Season 4,Kha'Zix
2014-03-25 00:00:00,Season 4,Sona
2014-03-04 00:00:00,Season 4,Renekton
2014-05-13 00:00:00,Season 4,Malzahar
2014-05-20 00:00:00,Season 4,Sejuani
2014-05-27 00:00:00,Season 4,Darius
2014-05-06 00:00:00,Season 4,Shyvana
2014-11-11 00:00:00,Season 4,Master Yi
2014-11-04 00:00:00,Season 4,Lucian
2014-10-13 00:00:00,Season 4,Rumble
2014-10-20 00:00:00,Season 4,Sejuani
2014-10-27 00:00:00,Season 4,Maokai
2014-10-06 00:00:00,Season 4,Pantheon
2014-09-01 00:00:00,Season 4,Jayce
2014-09-15 00:00:00,Season 4,Karthus
2014-09-22 00:00:00,Season 4,Quinn
2014-09-29 00:00:00,Season 4,Kog'Maw
2014-09-08 00:00:00,Season 4,Kennen
2013-04-16 00:00:00,Season 3,Maokai
2013-04-02 00:00:00,Season 3,Lux
2013-04-23 00:00:00,Season 3,Shen
2013-04-30 00:00:00,Season 3,Nunu
2013-04-09 00:00:00,Season 3,Leona
2013-08-13 00:00:00,Season 3,Orianna
2013-08-20 00:00:00,Season 3,Rumble
2013-08-27 00:00:00,Season 3,Lux
2013-08-06 00:00:00,Season 3,Jax
2013-02-12 00:00:00,Season 3,Nunu
2013-02-19 00:00:00,Season 3,Gragas
2013-02-26 00:00:00,Season 3,Jax
2013-02-05 00:00:00,Season 3,Kayle
2013-07-16 00:00:00,Season 3,Malphite
2013-07-02 00:00:00,Season 3,Master Yi
2013-07-23 00:00:00,Season 3,Kha'Zix
2013-07-30 00:00:00,Season 3,Nautilus
2013-07-09 00:00:00,Season 3,Nunu
2013-06-11 00:00:00,Season 3,Kassadin
2013-06-18 00:00:00,Season 3,Jax
2013-06-25 00:00:00,Season 3,Maokai
2013-06-04 00:00:00,Season 3,Miss Fortune
2013-03-12 00:00:00,Season 3,Malphite
2013-03-19 00:00:00,Season 3,Quinn
2013-03-26 00:00:00,Season 3,Kog'Maw
2013-03-05 00:00:00,Season 3,Mordekaiser
2013-05-14 00:00:00,Season 3,Lissandra
2013-05-21 00:00:00,Season 3,Soraka
2013-05-28 00:00:00,Season 3,Leona
2013-05-07 00:00:00,Season 3,Jayce
2013-11-12 00:00:00,Season 3,Nocturne
2013-11-19 00:00:00,Season 3,Pantheon
2013-11-05 00:00:00,Season 3,Leona
2013-10-01 00:00:00,Season 3,Shyvana
2013-10-15 00:00:00,Season 3,Gangplank
2013-10-22 00:00:00,Season 3,Lux
2013-10-29 00:00:00,Season 3,Lissandra
2013-10-08 00:00:00,Season 3,Katarina
2013-09-10 00:00:00,Season 3,Lucian
2013-09-17 00:00:00,Season 3,Lulu
2013-09-24 00:00:00,Season 3,Master Yi
2013-09-03 00:00:00,Season 3,Kayle
2013-12-10 00:00:00,Preseason 4,Karma
2013-12-17 00:00:00,Preseason 4,Nunu
2013-12-24 00:00:00,Preseason 4,Nami
2013-12-03 00:00:00,Preseason 4,Miss Fortune
2013-12-31 00:00:00,Preseason 4,Lee Sin
2014-01-14 00:00:00,Preseason 4,Kha'Zix
2014-01-07 00:00:00,Preseason 4,Jax
2013-11-26 00:00:00,Preseason 4,Nasus
2014-12-16 00:00:00,Preseason 5,Vi
2014-12-02 00:00:00,Preseason 5,Nidalee
2014-12-23 00:00:00,Preseason 5,Pantheon
2014-12-30 00:00:00,Preseason 5,Sejuani
2014-12-09 00:00:00,Preseason 5,Kalista
2015-01-13 00:00:00,Preseason 5,Kog'Maw
2015-01-06 00:00:00,Preseason 5,Janna
