,date,Champion,weeks,event,season,attack,defense,difficulty,magic,main_role,partype,secondary_role,wait_rank_by_role,freqs,prob
0,2013-02-05 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,18.0,0.0,0.0
1,2013-02-12 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,19.5,0.0,0.0
2,2013-02-19 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,20.5,0.0,0.0
3,2013-02-26 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,22.0,0.0,0.0
4,2013-03-05 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,24.0,0.0,0.0
5,2013-03-12 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,26.0,0.0,0.0
6,2013-03-19 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,26.5,0.0,0.0
7,2013-03-26 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,27.5,0.0,0.0
8,2013-04-02 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,28.0,0.0,0.0
9,2013-04-09 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,29.0,0.0,0.0
10,2013-04-16 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,29.0,0.0,0.0
11,2013-04-23 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,29.5,0.0,0.0
12,2013-04-30 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,30.0,0.0,0.0
13,2013-05-07 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,30.5,0.0,0.0
14,2013-05-14 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,31.5,0.0,0.0
15,2013-05-21 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,31.5,0.0,0.0
16,2013-05-28 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,32.5,0.0,0.0
17,2013-06-04 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,32.5,0.0,0.0
18,2013-06-11 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,33.0,0.0,0.0
19,2013-06-18 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,33.0,0.0,0.0
20,2013-06-25 00:00:00,Aatrox,-1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,33.0,0.0,0.0
21,2013-07-02 00:00:00,Aatrox,-1.0,1.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,33.0,1.0,1.0
22,2013-07-09 00:00:00,Aatrox,1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,30.5,1.0,0.0
23,2013-07-16 00:00:00,Aatrox,2.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,27.5,1.0,0.0
24,2013-07-23 00:00:00,Aatrox,3.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,24.5,1.0,0.0
25,2013-07-30 00:00:00,Aatrox,4.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,22.5,1.0,0.0
26,2013-08-06 00:00:00,Aatrox,5.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,20.5,1.0,0.0
27,2013-08-13 00:00:00,Aatrox,6.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,17.5,1.0,0.0
28,2013-08-20 00:00:00,Aatrox,7.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,14.5,1.0,0.0
29,2013-08-27 00:00:00,Aatrox,8.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,10.5,1.0,0.0
30,2013-09-03 00:00:00,Aatrox,9.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,10.5,1.0,0.0
31,2013-09-10 00:00:00,Aatrox,10.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,8.5,1.0,0.0
32,2013-09-17 00:00:00,Aatrox,11.0,1.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,7.5,2.0,0.6
